part_id,seller,offer_type,product_name,price_inr,url,checked_date,note
CTRL-001,ElectroPi.in,direct_product,UNO R3 ATmega328P Development Board For Arduino No Cable,179.10,https://chatgpt.com/?hints=search&q=UNO+R3+ATmega328P+Development+Board+For+Arduino+No+Cable,2026-08-30,Current surfaced merchant result; compatible Uno-style board
CTRL-001,Robocraze,direct_product,Arduino UNO R3 SMD Compatible Board,232,https://chatgpt.com/?hints=search&q=Buy+Arduino+UNO+R3+SMD+Compatible+Board+in+India,2026-08-30,Current surfaced merchant result
SNS-001,Robu,direct_product,HC-SR04 Ultrasonic Range Finder,,https://robu.in/product/hc-sr04-ultrasonic-range-finder/,2026-08-30,Direct verified product page
SNS-001,Robocraze,direct_product,HC-SR04 Ultrasonic Distance Sensor Module,69,https://chatgpt.com/?hints=search&q=Buy+Hc+Sr+04+Ultrasonic+Sensor+Online,2026-08-30,Current surfaced merchant result
MOT-003,Robocraze,direct_product,TowerPro SG90 9G Micro Servo Motor 180°,95,https://robocraze.com/blogs/products,2026-08-30,Current Robocraze catalog listing surfaced
MOT-003,REES52,direct_product,Tower Pro SG90 RC Mini Servo Motor,99,https://chatgpt.com/?hints=search&q=Tower+Pro+SG90+RC+Mini+Servo+Motor,2026-08-30,Current surfaced merchant result
DRV-001,Robu,direct_product,L298N 2A Based Motor Driver Module,131,https://chatgpt.com/?hints=search&q=L298N+2A+Based+Motor+Driver+Module,2026-08-30,Current surfaced merchant result
DRV-001,Robocraze,direct_product,L298N Motor Driver Module,149,https://chatgpt.com/?hints=search&q=Motor+Driver+Includes+a+78M05+Voltage+Regulator,2026-08-30,Current surfaced merchant result
MECH-005,Robu,search_seed,608 Ball Bearing,,https://robu.in/?s=608+Ball+Bearing&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-005,Robocraze,search_seed,608 Ball Bearing,,https://robocraze.com/search?q=608+Ball+Bearing,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-005,Amazon.in,search_seed,608 Ball Bearing,,https://www.amazon.in/s?k=608+Ball+Bearing,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-006,Robu,search_seed,Aluminium Extrusion 2020/2040,,https://robu.in/?s=Aluminium+Extrusion+2020%2F2040&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-006,Robocraze,search_seed,Aluminium Extrusion 2020/2040,,https://robocraze.com/search?q=Aluminium+Extrusion+2020%2F2040,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-006,Amazon.in,search_seed,Aluminium Extrusion 2020/2040,,https://www.amazon.in/s?k=Aluminium+Extrusion+2020%2F2040,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-007,Robu,search_seed,Aluminium Shaft,,https://robu.in/?s=Aluminium+Shaft&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-007,Robocraze,search_seed,Aluminium Shaft,,https://robocraze.com/search?q=Aluminium+Shaft,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-007,Amazon.in,search_seed,Aluminium Shaft,,https://www.amazon.in/s?k=Aluminium+Shaft,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-008,Robu,search_seed,Carbon-Fiber Tube,,https://robu.in/?s=Carbon-Fiber+Tube&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-008,Robocraze,search_seed,Carbon-Fiber Tube,,https://robocraze.com/search?q=Carbon-Fiber+Tube,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-008,Amazon.in,search_seed,Carbon-Fiber Tube,,https://www.amazon.in/s?k=Carbon-Fiber+Tube,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-009,Robu,search_seed,Cross-Roller Bearing,,https://robu.in/?s=Cross-Roller+Bearing&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-009,Robocraze,search_seed,Cross-Roller Bearing,,https://robocraze.com/search?q=Cross-Roller+Bearing,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-009,Amazon.in,search_seed,Cross-Roller Bearing,,https://www.amazon.in/s?k=Cross-Roller+Bearing,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-010,Robu,search_seed,Flanged Bearing,,https://robu.in/?s=Flanged+Bearing&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-010,Robocraze,search_seed,Flanged Bearing,,https://robocraze.com/search?q=Flanged+Bearing,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-010,Amazon.in,search_seed,Flanged Bearing,,https://www.amazon.in/s?k=Flanged+Bearing,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-011,Robu,search_seed,Heat-Set Insert,,https://robu.in/?s=Heat-Set+Insert&post_type=product,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-011,Robocraze,search_seed,Heat-Set Insert,,https://robocraze.com/search?q=Heat-Set+Insert,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
MECH-011,Amazon.in,search_seed,Heat-Set Insert,,https://www.amazon.in/s?k=Heat-Set+Insert,2026-08-30,"Search link only; exact product, stock, specification and price must be verified before purchase."
